x,y,z,k
-2.777,-48.286,25.890,621.4297
-2.777,-48.286,26.554,621.0925
-2.777,-48.286,27.219,620.7409
-2.777,-48.286,27.883,620.4093
-2.777,-48.286,28.547,620.1150
-2.777,-48.286,29.211,619.8312
-2.777,-48.286,29.875,619.4878
-2.777,-48.286,30.539,619.0769
-2.777,-48.286,31.203,618.6428
-2.777,-48.286,31.867,618.2837
-2.777,-48.286,32.531,617.9339
-2.777,-48.286,33.196,617.5297
-2.777,-48.286,33.860,617.2188
-2.777,-47.150,-18.605,607.0488
-2.777,-47.150,-17.941,607.2316
-2.777,-47.150,-17.277,607.5853
-2.777,-47.150,-16.613,607.9594
-2.777,-47.150,-15.949,608.2835
-2.777,-47.150,-15.284,608.5827
-2.777,-47.150,-14.620,608.8530
-2.777,-47.150,-13.956,609.2084
-2.777,-47.150,-13.292,609.6261
-2.777,-47.150,-12.628,609.9159
-2.777,-47.150,-11.964,610.1843
-2.777,-47.150,-11.300,610.5439
-2.777,-47.150,-10.636,610.8789
-2.777,-47.150,-9.972,611.2578
-2.777,-47.150,-9.307,611.5543
-2.777,-47.150,-8.643,611.8285
-2.777,-47.150,-7.979,612.1704
-2.777,-47.150,-7.315,612.4523
-2.777,-47.150,-6.651,612.7235
-2.777,-47.150,-5.987,613.0518
-2.777,-47.150,-5.323,613.3776
-2.777,-47.150,-4.659,613.6666
-2.777,-47.150,-3.995,613.9225
-2.777,-47.150,-3.330,614.2023
-2.777,-47.150,-2.666,614.4991
-2.777,-47.150,-2.002,614.7971
-2.777,-47.150,-1.338,615.1205
-2.777,-47.150,-0.674,615.4202
-2.777,-47.150,-0.010,615.6949
-2.777,-47.150,0.654,616.0053
-2.777,-47.150,1.318,616.3058
-2.777,-47.150,1.982,616.6307
-2.777,-47.150,2.647,616.9649
-2.777,-47.150,3.311,617.3208
-2.777,-47.150,3.975,617.7303
-2.777,-47.150,4.639,618.1129
-2.777,-47.150,5.303,618.4633
-2.777,-47.150,5.967,618.8218
-2.777,-47.150,6.631,619.2105
-2.777,-47.150,7.295,619.5993
-2.777,-47.150,7.959,619.9775
-2.777,-47.150,8.624,620.3364
-2.777,-47.150,9.288,620.6834
-2.777,-47.150,9.952,621.0314
-2.777,-47.150,10.616,621.3914
